Year,Treatment,Lineage,ID,Survive,Eclose
2024,Lupinus perennis,FE 1,1,0,0
2024,Lupinus perennis,FE 1,2,1,1
2024,Lupinus perennis,FE 1,3,1,1
2024,Lupinus perennis,FE 1,4,1,1
2024,Lupinus perennis,FE 1,5,1,1
2024,Lupinus perennis,FE 1,6,1,1
2024,Lupinus perennis,FE 1,7,0,0
2024,Lupinus perennis,FE 1,8,1,1
2024,Lupinus perennis,FE 1,9,1,1
2024,Lupinus perennis,FE 1,10,1,1
2024,Lupinus perennis,FE 1,11,1,1
2024,Lupinus perennis,FE 1,12,1,1
2024,Lupinus perennis,FE 1,13,1,1
2024,Lupinus perennis,FE 1,14,1,1
2024,Lupinus perennis,FE 1,15,1,1
2024,Lupinus perennis,FE 1,16,1,1
2024,Lupinus perennis,FE 1,17,1,1
2024,Lupinus perennis,FE 1,18,1,1
2024,Lupinus perennis,FE 1,19,1,1
2024,Lupinus perennis,FE 2,1,0,0
2024,Lupinus perennis,FE 2,2,1,1
2024,Lupinus perennis,FE 2,3,1,1
2024,Lupinus perennis,FE 2,4,1,1
2024,Lupinus perennis,FE 2,5,0,0
2024,Lupinus perennis,FE 2,6,0,0
2024,Lupinus perennis,FE 2,7,1,1
2024,Lupinus perennis,FE 2,8,0,0
2024,Lupinus perennis,FE 2,9,1,1
2024,Lupinus perennis,FE 2,10,0,0
2024,Lupinus perennis,FE 2,11,1,1
2024,Lupinus perennis,FE 2,12,1,1
2024,Lupinus perennis,FE 2,13,1,1
2024,Lupinus perennis,FE 2,14,0,0
2024,Lupinus perennis,FE 2,15,1,1
2024,Lupinus perennis,FE 2,16,1,1
2024,Lupinus perennis,FE 2,17,0,0
2024,Lupinus perennis,FE 2,18,0,0
2024,Lupinus perennis,FE 2,19,1,1
2024,Lupinus perennis,FE 2,20,0,0
2024,Lupinus perennis,FE 2,21,1,1
2024,Lupinus perennis,FE 2,22,1,1
2024,Lupinus perennis,FE 2,23,0,0
2024,Lupinus perennis,FE 2,24,1,1
2024,Lupinus perennis,FE 2,25,1,1
2024,Lupinus perennis,FE 2,26,0,0
2024,Lupinus perennis,FE 2,27,0,0
2024,Lupinus perennis,FE 2,28,0,0
2024,Lupinus perennis,FE 2,29,1,1
2024,Lupinus perennis,FE 2,30,1,1
2024,Lupinus perennis,FE 2,31,1,1
2024,Lupinus perennis,FE 2,32,1,1
2024,Lupinus perennis,FE 2,33,1,1
2024,Lupinus perennis,FE 3,1,1,1
