Year,Lineage,ID,Treatment,Individual,Hatch,Date,Age (days),Length (mm),Log.Length,SQRT.Length,Transform0.1,Arcsin.Length
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,5/23/25,1,1.60,0.204119983,1.264911064,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,5/27/25,5,2.46,0.390935107,1.568438714,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,5/30/25,8,2.05,0.311753861,1.431782106,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/3/25,12,4.26,0.629409599,2.063976744,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/6/25,15,5.84,0.766412847,2.416609195,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/10/25,19,8.84,0.946452265,2.973213749,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/13/25,22,10.62,1.026124517,3.258834147,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/17/25,26,16.71,1.22297645,4.087786687,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/20/25,29,13.00,1.113943352,3.605551275,,
2025,MTC1,FEC1S1,Lupinus perennis,1,5/22/25,6/24/25,33,11.80,1.071882007,3.435112807,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,5/23/25,1,2.15,0.33243846,1.46628783,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,5/27/25,5,2.32,0.365487985,1.523154621,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,5/30/25,8,3.59,0.555094449,1.894729532,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/3/25,12,4.61,0.663700925,2.147091055,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/6/25,15,6.05,0.781755375,2.459674775,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/10/25,19,8.82,0.945468585,2.969848481,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/13/25,22,11.50,1.06069784,3.391164992,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/17/25,26,14.17,1.15136985,3.764306045,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/20/25,29,11.45,1.058805487,3.383784863,,
2025,MTC1,FEC1S2,Lupinus perennis,2,5/22/25,6/24/25,33,10.54,1.022840611,3.246536616,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,5/23/25,1,1.71,0.23299611,1.307669683,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,5/27/25,5,2.22,0.346352974,1.489966443,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,5/30/25,8,3.65,0.562292864,1.910497317,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,6/3/25,12,5.69,0.755112266,2.385372088,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,6/6/25,15,9.13,0.960470778,3.021588986,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,6/10/25,19,13.51,1.130655349,3.67559519,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,6/13/25,22,14.99,1.175801633,3.871692137,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,6/17/25,26,10.89,1.03702788,3.3,,
2025,MTC1,FEC1S6,Lupinus perennis,3,5/22/25,6/20/25,29,11.04,1.042969073,3.322649545,,
2025,MTC1,FEC1S7,Lupinus perennis,4,5/22/25,5/23/25,1,1.39,0.1430148,1.178982612,,
2025,MTC1,FEC1S7,Lupinus perennis,4,5/22/25,5/27/25,5,2.13,0.328379603,1.459451952,,
2025,MTC1,FEC1S7,Lupinus perennis,4,5/22/25,5/30/25,8,2.15,0.33243846,1.46628783,,
