Number,Individual,Year,Lineage,Treatment,Laid,Hatch,Pupation,Eclose,Pupated (days),Eclosed (days),Weight (g),Sex,Mating Tent,Forewing,Hindwing,Eggs Laid,Notes
1,FE1S2,2024,FE1,Lupinus perennis,5/6/24,5/14/24,6/16/24,5/15/25,33,366,0.13907,M,C1,14.75,12.41,NA,
2,FE1S3,2024,FE1,Lupinus perennis,5/6/24,5/14/24,6/15/24,5/18/25,32,369,0.10571,F,C2,13.38,11.58,24,
3,FE1S4,2024,FE1,Lupinus perennis,5/8/24,5/15/24,6/16/24,7/15/24,32,61,0.12007,F,NA,NA,NA,,early eclose
4,FE1S5,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/17/24,5/14/25,33,364,0.11665,M,C1,15.07,12.43,NA,
5,FE1S6,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/14/24,5/16/25,30,366,0.12982,F,C2,14.70,12.88,Unknown,
6,FE1S8,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/15/24,5/15/25,31,365,0.12025,M,C1,13.19,11.24,NA,
7,FE1S9,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/17/24,5/16/25,33,366,0.11904,M,C1,13.98,11.69,NA,
8,FE1S10,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/22/24,5/15/25,38,365,0.10895,F,C2,NA,NA,Unknown,
9,FE1S11,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/15/24,5/16/25,31,366,0.12024,F,C2,14.07,12.71,Unknown,
10,FE1S12,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/15/24,5/13/25,31,363,0.12956,M,C1,14.15,11.87,NA,
11,FE1S13,2024,FE1,Lupinus perennis,5/7/24,5/15/24,6/15/24,5/15/25,31,365,0.13192,M,C1,14.27,12.73,NA,
12,FE1S14,2024,FE1,Lupinus perennis,5/6/24,5/16/24,6/17/24,5/15/25,32,364,0.10030,F,C2,13.09,10.87,6,
13,FE1S15,2024,FE1,Lupinus perennis,5/7/24,5/16/24,6/15/24,5/17/25,30,366,0.12291,F,C2,14.64,12.89,Unknown,
14,FE1S16,2024,FE1,Lupinus perennis,5/10/24,5/17/24,6/19/24,5/22/25,33,370,0.12067,NA,NA,NA,NA,NA,crinkled wings
15,FE1S17,2024,FE1,Lupinus perennis,5/10/24,5/18/24,6/20/24,5/15/25,33,362,0.12686,F,C2,13.64,12.93,Unknown,
16,FE1S18,2024,FE1,Lupinus perennis,5/10/24,5/18/24,6/20/24,7/19/24,33,62,0.12377,M,NA,NA,NA,NA,early eclose
17,FE1S19,2024,FE1,Lupinus perennis,5/10/24,5/18/24,6/20/24,5/13/25,33,360,0.11293,M,C1,12.82,10.57,13,
18,FE2S2,2024,FE2,Lupinus perennis,5/7/24,5/15/24,6/18/24,5/15/25,34,365,0.10331,F,C1,13.93,11.44,Unknown,
19,FE2S3,2024,FE2,Lupinus perennis,5/6/24,5/15/24,6/15/24,5/14/25,31,364,0.12283,M,C2,14.54,12.33,NA,
20,FE2S4,2024,FE2,Lupinus perennis,5/7/24,5/15/24,6/16/24,5/14/25,32,364,0.12584,M,C2,14.21,12.68,NA,
21,FE2S7,2024,FE2,Lupinus perennis,5/7/24,5/15/24,6/16/24,5/15/25,32,365,0.11596,F,C1,14.31,12.15,Unknown,observed mating
22,FE2S9,2024,FE2,Lupinus perennis,5/6/24,5/16/24,6/15/24,5/15/25,30,364,0.11543,F,C1,15.04,12.97,Unknown,
23,FE2S11,2024,FE2,Lupinus perennis,5/7/24,5/16/24,6/20/24,5/15/25,35,364,0.09637,M,NA,NA,NA,NA,escapee
24,FE2S12,2024,FE2,Lupinus perennis,5/7/24,5/16/24,6/16/24,5/16/25,31,365,0.10637,NA,NA,NA,NA,Unknown,crinkled wings
25,FE2S13,2024,FE2,Lupinus perennis,5/7/24,5/16/24,6/15/24,5/16/25,30,365,0.11816,F,C1,14.90,12.85,Unknown,
26,FE2S15,2024,FE2,Lupinus perennis,5/7/24,5/16/24,6/16/24,5/14/25,31,363,0.11345,F,C1,13.71,11.38,Unknown,
27,FE2S16,2024,FE2,Lupinus perennis,5/7/24,5/16/24,6/17/24,5/15/25,32,364,0.10754,F,C1,13.67,11.10,Unknown,
28,FE2S19,2024,FE2,Lupinus perennis,5/10/24,5/18/24,6/20/24,5/15/25,33,362,0.10348,F,C1,14.03,11.70,Unknown,
29,FE2S21,2024,FE2,Lupinus perennis,5/10/24,5/18/24,6/20/24,5/15/25,33,362,0.11449,F,C1,13.92,12.67,Unknown,
30,FE2S22,2024,FE2,Lupinus perennis,5/10/24,5/18/24,6/21/24,5/15/25,34,362,0.11247,M,C2,14.06,12.74,NA,
31,FE2S24,2024,FE2,Lupinus perennis,5/10/24,5/18/24,6/22/24,5/15/25,35,362,0.11724,F,C1,13.92,12.37,Unknown,
