SITE,YEAR,TRANSECT,INTERCEPT,DBcm,SPP,INTcm,LENGTHcm,WIDTHcm,HEIGHTcm,STEMS,FLOWERS,KBBeggs,KBBlarva,NOTES,Area,
CZ4F,2001,0,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,0-1,9,LUPE,10,11,9,11-Nov,1,0,,,,311,
CZ4F,2001,1,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,2,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,1-Feb,3.6,LUPE,10,12,10,11-Oct,1,0,,,,377,
CZ4F,2001,,2-Feb,4.8,LUPE,25,27,17,17/19,2,0,,,,1442,
CZ4F,2001,3,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,POSP,X,,,,,,,,,0,
CZ4F,2001,,1-Mar,0.8,LUPE,5,5,3,5-May,1,0,,,,47,
CZ4F,2001,,2-Mar,3.75,LUPE,15,23,10,17/19,2,0,,,,723,
CZ4F,2001,,3-Mar,4.6,LUPE,15,19,22,36/38,6,2,,,,1313,
CZ4F,2001,,4-Mar,5,LUPE,13,18,9,24/25,2,2,,,,509,
CZ4F,2001,,5-Mar,5.25,LUPE,5,11,6,18/22,1,0,,,,207,
CZ4F,2001,,6-Mar,5.4,LUPE,15,24,12,18/21,2,0,,,,905,
CZ4F,2001,,7-Mar,12.7,LUPE,12,16,15,13/15,1,0,,,,754,
CZ4F,2001,,8-Mar,38.4,LUPE,10,19,15,37/40,1,1,,,,895,
CZ4F,2001,,9-Mar,42.3,LUPE,5,34,23,23/33,1,0,,,,2457,
CZ4F,2001,,10-Mar,44.55,LUPE,20,26,24,19/24,3,0,,,,1960,
CZ4F,2001,4,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,1-Apr,4.85,LUPE,15,23,12,40/40,2,3,,,,867,
CZ4F,2001,,2-Apr,5.05,LUPE,5,10,10,32/34,1,1,,,,314,
CZ4F,2001,,3-Apr,5.15,LUPE,10,28,17,26/30,7,4,,,,1495,
CZ4F,2001,5,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,1-May,0.35,LUPE,10,13,14,13-Nov,1,0,,,,572,
CZ4F,2001,,2-May,0.8,LUPE,5,13,11,14/15,1,0,,,,449,
CZ4F,2001,,3-May,0.85,LUPE,10,16,10,13/20,1,0,,,,503,
CZ4F,2001,,4-May,1,LUPE,10,14,13,22/3,1,1,,,,572,
CZ4F,2001,,5-May,1.1,LUPE,10,23,15,29/31,3,1,,,,1084,
CZ4F,2001,,6-May,3.9,LUPE,5,15,15,20-Oct,1,0,,,,707,
CZ4F,2001,,7-May,4.1,LUPE,15,34,18,30/43,2,0,,,,1923,
CZ4F,2001,,8-May,41.15,LUPE,15,34,18,30/43,2,0,,,,1923,
CZ4F,2001,6,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,1-Jun,3.9,LUPE,5,21,16,37/44,1,0,,,,1056,
CZ4F,2001,,2-Jun,5,LUPE,5,20,10,35/37,3,3,,,,628,
CZ4F,2001,,3-Jun,5.3,LUPE,10,20,9,28/33,1,1,,,,565,
CZ4F,2001,,4-Jun,31.2,LUPE,10,21,11,23/25,2,0,,,,726,
CZ4F,2001,7,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,1-Jul,2.05,LUPE,20,28,25,27/28,4,3,,,,2199,
CZ4F,2001,,2-Jul,2.5,LUPE,5,14,13,12-Sep,1,0,,,,572,
CZ4F,2001,,3-Jul,3.7,LUPE,5,14,10,10-Sep,1,0,,,,440,
CZ4F,2001,,4-Jul,6.75,LUPE,4,4,4,8-Aug,1,0,,,,50,
CZ4F,2001,8,,,POSI,X,,,,,,,,,0,
CZ4F,2001,9,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,10,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,11,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,1-Nov,52.3,APAN,50,48,40,53/53,,,,,,6032,
CZ4F,2001,,2-Nov,53.6,APAN,55,58,37,60/60,,,,,,6742,
CZ4F,2001,12,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,1-Dec,53.2,APAN,30,36,31,55/55,,,,,,3506,
CZ4F,2001,,2-Dec,55.2,APAN,5,15,10,36/36,,,,,,471,
CZ4F,2001,,3-Dec,55.35,APAN,10,17,11,40/40,,,,,,587,
CZ4F,2001,,4-Dec,55.8,APAN,5,10,7,20/20,,,,,,220,
CZ4F,2001,,5-Dec,56.1,APAN,10,40,34,40/46,,,,,,4272,
CZ4F,2001,,6-Dec,56.35,APAN,5,30,17,45/45,,,,,,1602,
CZ4F,2001,,7-Dec,56.4,APAN,20,40,20,52/52,,,,,,2513,
CZ4F,2001,,8-Dec,57.6,APAN,25,40,23,57/57,,,,,,2890,
CZ4F,2001,13,,,POSI,X,,,,,,,,,0,
CZ4F,2001,,,,VASP,X,,,,,,,,,0,
CZ4F,2001,,13-1,51,LUPE,10,11,6,18/21,,,,,,207,
